name,picUrl,urlA,urlB,urlC
Günther,http://pic.xiami.net/images/artistlogo/59/13701495642959.jpg,http://pic.xiami.net/images/artistpic/79/30379/1370149562_7wGl.jpg,http://pic.xiami.net/images/artistpic/79/30379/1434421762_Xkg8.jpg,http://pic.xiami.net/images/artistpic/79/30379/1434421766_7Zsp.jpg
宋岳�?http://pic.xiami.net/images/artistpic/32/832/1269325808_bYKC.jpg,,http://pic.xiami.net/images/artistpic/32/832/1269325872_oVSl.jpg,http://pic.xiami.net/images/artistpic/32/832/1269325820_DGHY.jpg,http://pic.xiami.net/images/artistlogo/8/13765585417508.png
ONE OK ROCK,http://pic.xiami.net/images/artistlogo/36/14881626956736.jpg,http://pic.xiami.net/images/artistpic/43/60943/1278585667_ADX0.jpg,http://pic.xiami.net/images/artistpic/43/60943/1278585573_pbNQ.jpg,http://pic.xiami.net/images/artistpic/43/60943/1288801719_WnIK.jpg
우원�?,,,,http://pic.xiami.net/images/artistlogo/26/15038994784426.jpg
BAKERIE,http://pic.xiami.net/images/artistlogo/98/14999236295198.jpg,,,
扬科,http://pic.xiami.net/images/artistlogo/18/14886898307518.jpg,,,
MounTain Man,http://pic.xiami.net/images/artistlogo/86/14723768485686.jpg,,,
B-Free,http://pic.xiami.net/images/artistlogo/0/15101112882600.jpg,http://pic.xiami.net/images/artistpic/92/63892/1303040829_vxJm.jpg,,
AKA.YP,http://pic.xiami.net/images/artistlogo/68/14337341661668.jpg,,,
Cam'ron,http://pic.xiami.net/images/artist/12185304555237.jpg,http://pic.xiami.net/images/artistpic/90/18990/1298618788_C7f0.jpg,http://pic.xiami.net/images/artistpic/90/18990/1298619135_psXH.jpg,http://pic.xiami.net/images/artistpic/90/18990/1298619142_ABtg.jpg
라이�?,,,,https://pic.xiami.net/images/common/uploadpic/7/1501645422807.png
双棒�?http://pic.xiami.net/images/artistpic/12/111912/1340464167_i21x.jpg,,http://pic.xiami.net/images/artistpic/12/111912/1340469156_nQIq.jpg,http://pic.xiami.net/images/artistpic/12/111912/1340242918_uQMD.jpg,http://pic.xiami.net/images/artistlogo/58/14905886962258.jpg
Slum Village,http://pic.xiami.net/images/artistlogo/2/14866095831702.jpg,http://pic.xiami.net/images/artistpic/66/19266/1396314828_14Eg.png,http://pic.xiami.net/images/artistpic/66/19266/1396314825_QGVy.png,http://pic.xiami.net/images/artistpic/66/19266/1396314827_ta62.jpg
W-Shine7,http://pic.xiami.net/images/artistlogo/59/14991686261259.png,,,
MF DOOM,http://pic.xiami.net/images/artistlogo/57/14695155944357.jpg,http://pic.xiami.net/images/artistpic/54/19254/1262089814_TFi1.jpg,http://pic.xiami.net/images/artistpic/54/19254/1262089753_oByu.jpg,http://pic.xiami.net/images/artistpic/54/19254/1262089732_KzLX.jpg
